UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 19:18 ?        00:00:04 /sbin/init splash
root           2       0  0 19:18 ?        00:00:00 [kthreadd]
root           3       2  0 19:18 ?        00:00:00 [rcu_gp]
root           4       2  0 19:18 ?        00:00:00 [rcu_par_gp]
root           5       2  0 19:18 ?        00:00:00 [slub_flushwq]
root           6       2  0 19:18 ?        00:00:00 [netns]
root           8       2  0 19:18 ?        00:00:00 [kworker/0:0H-events_highpri]
root          10       2  0 19:18 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 19:18 ?        00:00:00 [rcu_tasks_rude_]
root          12       2  0 19:18 ?        00:00:00 [rcu_tasks_trace]
root          13       2  0 19:18 ?        00:00:00 [ksoftirqd/0]
root          14       2  0 19:18 ?        00:00:00 [rcu_sched]
root          15       2  0 19:18 ?        00:00:00 [migration/0]
root          16       2  0 19:18 ?        00:00:00 [idle_inject/0]
root          17       2  0 19:18 ?        00:00:00 [kworker/0:1-mm_percpu_wq]
root          18       2  0 19:18 ?        00:00:00 [cpuhp/0]
root          19       2  0 19:18 ?        00:00:00 [cpuhp/1]
root          20       2  0 19:18 ?        00:00:00 [idle_inject/1]
root          21       2  0 19:18 ?        00:00:00 [migration/1]
root          22       2  0 19:18 ?        00:00:00 [ksoftirqd/1]
root          23       2  0 19:18 ?        00:00:00 [kworker/1:0-events]
root          24       2  0 19:18 ?        00:00:00 [kworker/1:0H-events_highpri]
root          25       2  0 19:18 ?        00:00:00 [cpuhp/2]
root          26       2  0 19:18 ?        00:00:00 [idle_inject/2]
root          27       2  0 19:18 ?        00:00:00 [migration/2]
root          28       2  0 19:18 ?        00:00:00 [ksoftirqd/2]
root          30       2  0 19:18 ?        00:00:00 [kworker/2:0H-events_highpri]
root          31       2  0 19:18 ?        00:00:00 [cpuhp/3]
root          32       2  0 19:18 ?        00:00:00 [idle_inject/3]
root          33       2  0 19:18 ?        00:00:00 [migration/3]
root          34       2  0 19:18 ?        00:00:00 [ksoftirqd/3]
root          35       2  0 19:18 ?        00:00:00 [kworker/3:0-rcu_par_gp]
root          36       2  0 19:18 ?        00:00:00 [kworker/3:0H-events_highpri]
root          37       2  0 19:18 ?        00:00:00 [kdevtmpfs]
root          38       2  0 19:18 ?        00:00:00 [inet_frag_wq]
root          39       2  0 19:18 ?        00:00:00 [kauditd]
root          41       2  0 19:18 ?        00:00:00 [khungtaskd]
root          42       2  0 19:18 ?        00:00:00 [oom_reaper]
root          43       2  0 19:18 ?        00:00:00 [writeback]
root          44       2  0 19:18 ?        00:00:00 [kcompactd0]
root          45       2  0 19:18 ?        00:00:00 [ksmd]
root          46       2  0 19:18 ?        00:00:00 [khugepaged]
root          94       2  0 19:18 ?        00:00:00 [kworker/3:1-events]
root          95       2  0 19:18 ?        00:00:00 [kintegrityd]
root          96       2  0 19:18 ?        00:00:00 [kblockd]
root          97       2  0 19:18 ?        00:00:00 [blkcg_punt_bio]
root          99       2  0 19:18 ?        00:00:00 [tpm_dev_wq]
root         100       2  0 19:18 ?        00:00:00 [ata_sff]
root         101       2  0 19:18 ?        00:00:00 [md]
root         102       2  0 19:18 ?        00:00:00 [edac-poller]
root         103       2  0 19:18 ?        00:00:00 [devfreq_wq]
root         104       2  0 19:18 ?        00:00:00 [watchdogd]
root         105       2  0 19:18 ?        00:00:00 [kworker/2:1H-kblockd]
root         107       2  0 19:18 ?        00:00:00 [kswapd0]
root         108       2  0 19:18 ?        00:00:00 [ecryptfs-kthrea]
root         110       2  0 19:18 ?        00:00:00 [kthrotld]
root         111       2  0 19:18 ?        00:00:00 [irq/24-pciehp]
root         112       2  0 19:18 ?        00:00:00 [irq/25-pciehp]
root         113       2  0 19:18 ?        00:00:00 [irq/26-pciehp]
root         114       2  0 19:18 ?        00:00:00 [irq/27-pciehp]
root         115       2  0 19:18 ?        00:00:00 [irq/28-pciehp]
root         116       2  0 19:18 ?        00:00:00 [irq/29-pciehp]
root         117       2  0 19:18 ?        00:00:00 [irq/30-pciehp]
root         118       2  0 19:18 ?        00:00:00 [irq/31-pciehp]
root         119       2  0 19:18 ?        00:00:00 [irq/32-pciehp]
root         120       2  0 19:18 ?        00:00:00 [irq/33-pciehp]
root         121       2  0 19:18 ?        00:00:00 [irq/34-pciehp]
root         122       2  0 19:18 ?        00:00:00 [irq/35-pciehp]
root         123       2  0 19:18 ?        00:00:00 [irq/36-pciehp]
root         124       2  0 19:18 ?        00:00:00 [irq/37-pciehp]
root         125       2  0 19:18 ?        00:00:00 [irq/38-pciehp]
root         126       2  0 19:18 ?        00:00:00 [irq/39-pciehp]
root         127       2  0 19:18 ?        00:00:00 [irq/40-pciehp]
root         128       2  0 19:18 ?        00:00:00 [irq/41-pciehp]
root         129       2  0 19:18 ?        00:00:00 [irq/42-pciehp]
root         130       2  0 19:18 ?        00:00:00 [irq/43-pciehp]
